_SystemName,_DistrictWebsite,_City,_total_enroll,_Grade,_pct_asian,_pct_native,_pct_black,_pct_hispanic,_pct_multi,_pct_white,_sent_bool
Atkinson County,http://www.atkinson.k12.ga.us/,Pearson,1583,C,0,0,16,40,1,43,0
Wilkes County,http://www.wilkes.k12.ga.us/,Washington,1398,C,1,0,51,8,6,34,0
Pelham City,http://www.pelham-city.k12.ga.us/,Pelham,1343,C,1,0,58,6,2,34,0
Pulaski County,http://www.pulaski.k12.ga.us/,Hawkinsville,1281,C,1,1,40,9,3,47,0
Clinch County,http://www.clinchcounty.com/,Homerville,1264,C,0,0,35,4,5,55,0
Wilcox County,http://www.wilcox.k12.ga.us/,Abbeville,1129,C,1,0,33,4,3,59,0
Jenkins County,http://www.jenkins.k12.ga.us/,Millen,1093,C,0,0,53,7,2,37,0
Johnson County,http://www.johnson.k12.ga.us/system/index.htm,Wrightsville,1078,C,0,0,41,3,2,53,0
Lincoln County,http://www.lincolncountyschools.org/,Lincolnton,1067,C,0,0,37,2,3,58,0
Wheeler County,http://www.wheelercountyschools.org/,Alamo,941,C,0,0,35,6,0,59,0
Towns County,http://www.towns.k12.ga.us/,Hiawassee,938,C,1,0,1,5,2,91,0
Chattahoochee County,http://www.chattahoochee.k12.ga.us/,Cusseta,876,C,1,0,25,11,7,55,0
Montgomery County,http://www.montgomery.k12.ga.us/,Mount Vernon,845,C,1,0,32,15,5,47,0
Echols County,http://www.echols.k12.ga.us/,Statenville,809,C,0,1,3,46,1,48,0
Glascock County,http://gccs-charters-ca.schoolloop.com/,Gibson,539,C,0,0,7,2,3,88,0
Stewart County,http://www.stewart.k12.ga.us/,Lumpkin,425,C,0,0,96,0,0,3,0
Webster County,http://www.websterbobcats.org/,Preston,296,C,1,1,48,8,4,38,0
Fayette County,http://www.fcboe.org/,Fayetteville,19973,B,7,0,28,12,5,47,0
Walton County,http://www.walton.k12.ga.us/default.aspx,Monroe,13567,B,2,0,23,8,4,63,0
Glynn County,http://flashmedia.glynn.k12.ga.us/,Brunswick,12762,B,2,0,35,13,4,47,0
Effingham County,https://www.effinghamschools.com/,Springfield,12115,B,1,0,15,8,5,71,0
Lowndes County,http://www.lowndes.k12.ga.us/,Valdosta,10273,B,1,0,23,10,5,61,0
